DATE,PM1,PM2,COEFF1,COEFF2
9/12/1985,0241,1506,72,78
10/12/1985,0333,1559,83,88
11/12/1985,0424,1650,92,95
12/12/1985,0513,1739,97,98
13/12/1985,0601,1828,98,97
14/12/1985,0649,1916,94,91
15/12/1985,0737,2005,87,82
16/12/1985,0826,2055,77,71
17/12/1985,0917,2146,66,60
18/12/1985,1010,2242,55,51
19/12/1985,1106,2341,47,44
20/12/1985,1205,,43,
21/12/1985,0044,1305,42,43
22/12/1985,0142,1404,45,47
23/12/1985,0236,1458,50,53
24/12/1985,0323,1544,56,59
25/12/1985,0405,1626,62,65
26/12/1985,0443,1706,67,70
27/12/1985,0521,1743,71,73
28/12/1985,0557,1820,74,75
29/12/1985,0633,1856,75,75
30/12/1985,0709,1933,75,74
31/12/1985,0749,2014,72,71
1/1/1986,0832,2059,69,66
2/1/1986,0919,2149,64,61
3/1/1986,1011,2246,59,57
4/1/1986,1111,2352,55,54
5/1/1986,1221,,54,
6/1/1986,0103,1334,55,58
7/1/1986,0211,1443,61,65
8/1/1986,0313,1544,70,75
9/1/1986,0409,1640,79,84
10/1/1986,0502,1731,87,90
11/1/1986,0552,1820,92,94
12/1/1986,0640,1906,94,93
13/1/1986,0725,1949,91,89
14/1/1986,0807,2029,85,81
15/1/1986,0846,2106,76,71
16/1/1986,0925,2144,65,59
17/1/1986,1008,2231,54,48
18/1/1986,1100,2330,43,39
19/1/1986,1202,,36,
20/1/1986,0037,1309,34,34
21/1/1986,0147,1420,35,38
22/1/1986,0252,1521,42,46
23/1/1986,0343,1610,51,56
24/1/1986,0427,1651,60,65
25/1/1986,0507,1730,69,73
26/1/1986,0545,1808,77,80
27/1/1986,0622,1844,83,85
28/1/1986,0658,1920,87,88
29/1/1986,0736,1957,87,87
30/1/1986,0814,2037,85,82
31/1/1986,0856,2120,79,75
1/2/1986,0942,2210,70,65
2/2/1986,1036,2311,60,55
3/2/1986,1146,,51,
4/2/1986,0029,1310,48,47
5/2/1986,0151,1432,49,53
6/2/1986,0303,1540,58,65
7/2/1986,0403,1636,71,77
8/2/1986,0455,1724,83,87
9/2/1986,0542,1808,91,94
10/2/1986,0625,1848,96,96
11/2/1986,0704,1923,96,94
12/2/1986,0738,1955,91,88
13/2/1986,0810,2024,83,78
14/2/1986,0841,2054,72,66
15/2/1986,0915,2130,60,53
16/2/1986,0957,2217,47,41
17/2/1986,1055,2328,35,30
18/2/1986,1214,,26,
19/2/1986,0053,1343,25,27
20/2/1986,0219,1459,31,37
21/2/1986,0320,1549,44,51
22/2/1986,0406,1631,58,64
23/2/1986,0446,1710,71,77
24/2/1986,0525,1747,83,88
25/2/1986,0603,1824,93,96
26/2/1986,0639,1859,99,100
27/2/1986,0715,1935,101,100
28/2/1986,0752,2013,97,93
1/3/1986,0832,2054,88,83
2/3/1986,0916,2141,75,68
3/3/1986,1010,2242,60,52
4/3/1986,1125,,46,
5/3/1986,0009,1305,41,40
6/3/1986,0144,1434,42,47
7/3/1986,0300,1539,54,62
8/3/1986,0358,1629,69,76
9/3/1986,0445,1711,82,87
10/3/1986,0525,1748,91,94
11/3/1986,0602,1821,95,96
12/3/1986,0635,1852,96,95
13/3/1986,0706,1920,92,89
14/3/1986,0734,1947,85,81
15/3/1986,0803,2015,75,70
16/3/1986,0834,2045,63,57
17/3/1986,0909,2122,50,43
18/3/1986,0955,2217,37,31
19/3/1986,1113,2352,25,22
20/3/1986,1256,,23,
21/3/1986,0132,1423,27,33
22/3/1986,0244,1517,41,49
23/3/1986,0334,1601,58,66
24/3/1986,0418,1642,74,81
25/3/1986,0458,1721,88,94
26/3/1986,0537,1758,100,104
27/3/1986,0615,1835,106,108
28/3/1986,0652,1912,107,106
29/3/1986,0731,1951,102,97
30/3/1986,0912,2134,91,84
31/3/1986,0959,2223,75,66
1/4/1986,1057,2329,57,49
2/4/1986,1222,,42,
3/4/1986,0103,1404,39,39
4/4/1986,0234,1526,42,48
5/4/1986,0347,1625,55,62
6/4/1986,0441,1709,69,74
7/4/1986,0524,1747,79,83
8/4/1986,0601,1820,87,89
9/4/1986,0633,1850,90,91
10/4/1986,0704,1919,90,89
11/4/1986,0734,1947,88,85
12/4/1986,0804,2016,82,78
13/4/1986,0833,2044,74,69
14/4/1986,0903,2114,63,58
15/4/1986,0937,2151,52,46
16/4/1986,1023,2245,40,34
17/4/1986,1134,,29,
18/4/1986,0005,1307,26,26
19/4/1986,0138,1432,29,35
20/4/1986,0255,1533,42,50
21/4/1986,0353,1623,58,66
22/4/1986,0442,1708,75,82
23/4/1986,0527,1750,89,95
24/4/1986,0609,1831,100,104
25/4/1986,0650,1911,106,107
26/4/1986,0731,1952,106,104
27/4/1986,0814,2035,100,95
28/4/1986,0900,2122,88,81
29/4/1986,0951,2217,73,65
30/4/1986,1056,2328,57,50
1/5/1986,1220,,45,
2/5/1986,0051,1345,43,43
3/5/1986,0209,1458,46,50
4/5/1986,0317,1555,55,59
5/5/1986,0411,1639,64,68
6/5/1986,0453,1715,72,75
7/5/1986,0529,1747,77,79
8/5/1986,0602,1817,80,81
9/5/1986,0643,1849,81,80
10/5/1986,0707,1920,79,78
11/5/1986,0739,1951,76,73
12/5/1986,0810,2021,70,66
13/5/1986,0842,2055,62,58
14/5/1986,0920,2136,54,50
15/5/1986,1008,2230,45,41
16/5/1986,1111,2337,38,36
17/5/1986,1225,,36,
18/5/1986,0052,1340,37,41
19/5/1986,0204,1446,46,52
20/5/1986,0309,1542,58,65
21/5/1986,0405,1633,72,79
22/5/1986,0456,1720,85,90
23/5/1986,0543,1805,94,98
24/5/1986,0629,1851,100,100
25/5/1986,0716,1937,100,98
26/5/1986,0804,2026,95,91
27/5/1986,0854,2117,86,81
28/5/1986,0948,2214,74,68
29/5/1986,1050,2318,63,58
30/5/1986,1158,,53,
31/5/1986,0024,1306,50,49
1/6/1986,0129,1411,48,49
2/6/1986,0232,1510,51,53
3/6/1986,0328,1558,55,58
4/6/1986,0416,1639,60,63
5/6/1986,0457,1715,65,67
6/6/1986,0533,1750,68,69
7/6/1986,0610,1825,70,71
8/6/1986,0647,1900,71,71
9/6/1986,0722,1935,70,69
10/6/1986,0756,2008,68,67
11/6/1986,0831,2045,65,63
12/6/1986,0910,2127,60,58
13/6/1986,0955,2216,55,53
14/6/1986,1047,2310,51,49
15/6/1986,1146,,48,
16/6/1986,0011,1251,48,49
17/6/1986,0116,1358,51,53
18/6/1986,0223,1501,57,61
19/6/1986,0327,1600,66,71
20/6/1986,0427,1654,76,81
21/6/1986,0522,1746,85,88
22/6/1986,0615,1838,91,93
23/6/1986,0707,1928,94,94
24/6/1986,0757,2019,93,91
25/6/1986,0848,2109,88,85
26/6/1986,0937,2200,81,76
27/6/1986,1027,2251,71,66
28/6/1986,1119,2343,61,57
29/6/1986,1213,,53,
30/6/1986,0037,1310,49,46
1/7/1986,0134,1410,45,44
2/7/1986,0233,1509,44,46
3/7/1986,0333,1603,47,50
4/7/1986,0426,1649,52,55
5/7/1986,0512,1730,58,60
6/7/1986,0553,1809,63,65
7/7/1986,0632,1846,67,68
8/7/1986,0709,1922,70,71
9/7/1986,0744,1958,72,72
10/7/1986,0819,2034,72,72
11/7/1986,0856,2112,71,70
12/7/1986,0936,2154,69,67
13/7/1986,1019,2240,65,62
14/7/1986,1108,2332,60,57
15/7/1986,1206,,55,
16/7/1986,0033,1313,54,53
17/7/1986,0144,1426,53,55
18/7/1986,0259,1536,57,61
19/7/1986,0410,1639,66,71
20/7/1986,0512,1736,76,81
21/7/1986,0608,1839,85,89
22/7/1986,0659,1919,92,94
23/7/1986,0747,2006,95,95
24/7/1986,0832,2051,94,91
25/7/1986,0913,2132,88,84
26/7/1986,0951,2211,79,73
27/7/1986,1028,2251,67,61
28/7/1986,1110,2338,55,49
29/7/1986,1204,,44,
30/7/1986,0036,1309,39,36
31/7/1986,0142,1421,34,34
1/8/1986,0255,1533,35,38
2/8/1986,0405,1629,42,46
3/8/1986,0456,1714,51,56
4/8/1986,0538,1753,60,64
5/8/1986,0616,1830,69,72
6/8/1986,0652,1906,76,78
7/8/1986,0727,1940,81,83
8/8/1986,0800,2014,84,85
9/8/1986,0834,2050,85,84
10/8/1986,0911,2128,82,79
11/8/1986,0950,2210,76,72
12/8/1986,1034,2258,67,62
13/8/1986,1128,2359,57,52
14/8/1986,1238,,48,
15/8/1986,0118,1404,46,46
16/8/1986,0249,1526,48,53
17/8/1986,0407,1633,59,66
18/8/1986,0508,1729,73,80
19/8/1986,0600,1818,86,91
20/8/1986,0646,1903,95,97
21/8/1986,0727,1944,99,99
22/8/1986,0805,2022,98,95
23/8/1986,0839,2055,92,88
24/8/1986,0909,2127,82,76
25/8/1986,0939,2200,70,63
26/8/1986,1013,2240,56,50
27/8/1986,1058,2335,42,36
28/8/1986,1206,,30,
29/8/1986,0052,1333,27,25
30/8/1986,0223,1503,26,30
31/8/1986,0343,1606,36,42
1/9/1986,0433,1650,49,55
2/9/1986,0514,1729,62,68
3/9/1986,0551,1806,74,79
4/9/1986,0627,1842,84,88
5/9/1986,0702,1916,91,94
6/9/1986,0735,1950,95,96
7/9/1986,0809,2025,96,94
8/9/1986,0844,2102,91,87
9/9/1986,0923,2144,82,76
10/9/1986,1007,2233,69,62
11/9/1986,1102,2339,55,48
12/9/1986,1220,,42,
13/9/1986,0115,1401,40,41
14/9/1986,0254,1525,45,52
15/9/1986,0406,1628,60,68
16/9/1986,0500,1718,75,82
17/9/1986,0545,1801,88,92
18/9/1986,0625,1840,96,98
19/9/1986,0701,1916,99,98
20/9/1986,0733,1948,97,95
21/9/1986,0803,2019,91,87
22/9/1986,0831,2048,82,76
23/9/1986,0859,2119,70,64
24/9/1986,0930,2154,57,50
25/9/1986,1008,2240,43,36
26/9/1986,1103,2357,29,24
27/9/1986,1237,,22,
28/9/1986,0142,1316,22,27
29/9/1986,0204,1426,33,40
30/9/1986,0257,1514,48,56
1/10/1986,0340,1556,63,71
2/10/1986,0419,1636,77,84
3/10/1986,0457,1713,89,94
4/10/1986,0533,1749,98,101
5/10/1986,0608,1825,102,102
6/10/1986,0644,1902,101,99
7/10/1986,0722,1942,95,90
8/10/1986,0803,2027,83,76
9/10/1986,0851,2122,68,60
10/10/1986,0952,2238,52,45
11/10/1986,1120,,41,
12/10/1986,0021,1256,40,42
13/10/1986,0147,1412,48,55
14/10/1986,0251,1511,62,69
15/10/1986,0341,1557,75,81
16/10/1986,0422,1637,85,89
17/10/1986,0458,1712,91,93
18/10/1986,0529,1745,93,93
19/10/1986,0600,1817,91,89
20/10/1986,0630,1848,86,83
21/10/1986,0700,1918,79,74
22/10/1986,0729,1949,68,63
23/10/1986,0800,2023,57,51
24/10/1986,0837,2108,45,39
25/10/1986,0928,2215,33,29
26/10/1986,1046,2346,25,25
27/10/1986,1217,,28,
28/10/1986,0108,1332,33,40
29/10/1986,0209,1429,47,55
30/10/1986,0258,1518,62,70
31/10/1986,0342,1602,77,84
1/11/1986,0424,1644,90,94
2/11/1986,0504,1724,98,101
3/11/1986,0543,1804,103,103
4/11/1986,0624,1846,101,99
5/11/1986,0706,1931,95,90
6/11/1986,0753,2022,83,76
7/11/1986,0847,2122,69,62
8/11/1986,0953,2242,55,50
9/11/1986,1116,,47,
10/11/1986,0006,1234,46,48
11/11/1986,0120,1344,51,55
12/11/1986,0222,1442,60,65
13/11/1986,0311,1529,69,73
14/11/1986,0352,1608,76,79
15/11/1986,0427,1643,81,82
16/11/1986,0459,1717,82,82
17/11/1986,0532,1751,82,81
18/11/1986,0605,1825,79,77
19/11/1986,0638,1858,74,71
20/11/1986,0709,1931,67,63
21/11/1986,0742,2007,59,55
22/11/1986,0821,2051,50,46
23/11/1986,0910,2147,42,39
24/11/1986,1011,2256,36,35
25/11/1986,1122,,35,
26/11/1986,0009,1234,38,41
27/11/1986,0115,1338,46,52
28/11/1986,0213,1436,58,65
29/11/1986,0305,1528,72,78
30/11/1986,0353,1616,83,88
1/12/1986,0439,1704,93,96
2/12/1986,0525,1751,98,99
3/12/1986,0612,1839,98,97
4/12/1986,0700,1929,94,91
5/12/1986,0751,2022,86,81
6/12/1986,0846,2120,76,71
7/12/1986,0947,2225,65,60
8/12/1986,1052,2332,56,53
9/12/1986,1157,,51,
10/12/1986,0037,1301,51,51
11/12/1986,0138,1401,53,55
12/12/1986,0233,1454,57,60
13/12/1986,0319,1539,62,64
14/12/1986,0359,1619,67,69
15/12/1986,0436,1657,70,71
16/12/1986,0512,1734,72,73
17/12/1986,0549,1811,73,73
18/12/1986,0624,1846,72,71
19/12/1986,0658,1920,69,68
20/12/1986,0733,1956,66,64
21/12/1986,0810,2035,61,59
22/12/1986,0852,2120,56,53
23/12/1986,0940,2213,51,49
24/12/1986,1035,2313,47,46
25/12/1986,1137,,46,
26/12/1986,0019,1245,47,50
27/12/1986,0126,1354,53,57
28/12/1986,0229,1458,62,67
29/12/1986,0327,1557,73,78
30/12/1986,0422,1652,83,88
31/12/1986,0514,1744,92,95
1/1/1987,0605,1834,97,98
2/1/1987,0655,1924,98,97
3/1/1987,0745,2013,95,92
4/1/1987,0834,2101,87,82
5/1/1987,0924,2151,77,71
6/1/1987,1014,2243,65,59
7/1/1987,1108,2340,54,49
8/1/1987,1207,,46,
9/1/1987,0041,1310,43,42
10/1/1987,0147,1415,43,44
11/1/1987,0248,1515,47,50
12/1/1987,0338,1603,53,56
13/1/1987,0421,1645,60,63
14/1/1987,0500,1723,66,69
15/1/1987,0537,1759,71,73
16/1/1987,0612,1834,75,76
17/1/1987,0646,1907,77,77
18/1/1987,0719,1939,77,76
19/1/1987,0753,2014,75,73
20/1/1987,0829,2052,71,69
21/1/1987,0910,2135,65,62
22/1/1987,0955,2225,58,55
23/1/1987,1050,2328,51,49
24/1/1987,1158,,47,
25/1/1987,0042,1319,46,48
26/1/1987,0201,1440,51,56
27/1/1987,0313,1548,62,70
28/1/1987,0414,1645,76,84
29/1/1987,0508,1737,90,95
30/1/1987,0558,1825,100,103
31/1/1987,0644,1910,104,105
1/2/1987,0729,1952,103,101
2/2/1987,0811,2031,96,91
3/2/1987,0850,2108,85,78
4/2/1987,0928,2146,71,64
5/2/1987,1012,2234,56,49
6/2/1987,1107,2339,42,36
7/2/1987,1217,,32,
8/2/1987,0055,1339,30,31
9/2/1987,0223,1459,34,38
10/2/1987,0325,1551,43,49
11/2/1987,0409,1631,54,60
12/2/1987,0446,1707,64,69
13/2/1987,0521,1741,74,77
14/2/1987,0555,1814,81,84
15/2/1987,0627,1845,86,87
16/2/1987,0658,1916,88,88
17/2/1987,0730,1948,88,86
18/2/1987,0804,2023,83,80
19/2/1987,0841,2103,76,71
20/2/1987,0923,2149,66,60
21/2/1987,1015,2249,54,48
22/2/1987,1127,,43,
23/2/1987,0013,1304,40,40
24/2/1987,0148,1437,44,50
25/2/1987,0306,1544,58,67
26/2/1987,0405,1638,75,84
27/2/1987,0456,1724,91,97
28/2/1987,0542,1807,102,105
1/3/1987,0625,1847,107,107
2/3/1987,0704,1923,106,103
3/3/1987,0740,1955,99,94
4/3/1987,0812,2026,87,80
5/3/1987,0845,2058,73,65
6/3/1987,0922,2138,56,49
7/3/1987,1012,2237,41,34
8/3/1987,1126,,27,
9/3/1987,0003,1303,23,23
10/3/1987,0144,1436,26,31
11/3/1987,0257,1527,38,45
12/3/1987,0342,1606,51,58
13/3/1987,0419,1640,64,71
14/3/1987,0454,1714,76,81
15/3/1987,0528,1747,86,89
16/3/1987,0601,1819,92,94
17/3/1987,0633,1850,96,96
18/3/1987,0705,1923,95,93
19/3/1987,0739,1958,90,86
20/3/1987,0817,2038,81,75
21/3/1987,0902,2126,68,61
22/3/1987,0957,2231,53,46
23/3/1987,1118,,40,
24/3/1987,0004,1310,37,39
25/3/1987,0144,1434,44,51
26/3/1987,0256,1534,60,69
27/3/1987,0352,1622,77,85
28/3/1987,0439,1704,91,96
29/3/1987,0621,1842,99,102
30/3/1987,0659,1918,103,102
31/3/1987,0734,1951,101,98
1/4/1987,0807,2021,94,89
2/4/1987,0839,2051,84,77
3/4/1987,0910,2123,70,63
4/4/1987,0946,2200,56,49
5/4/1987,1030,2249,41,34
6/4/1987,1137,,28,
7/4/1987,0009,1315,24,22
8/4/1987,0146,1445,24,29
9/4/1987,0304,1543,35,42
10/4/1987,0358,1625,49,56
11/4/1987,0440,1703,63,69
12/4/1987,0520,1740,76,81
13/4/1987,0557,1816,86,90
14/4/1987,0632,1850,94,96
15/4/1987,0706,1924,97,98
16/4/1987,0742,2000,97,94
17/4/1987,0820,2040,91,86
18/4/1987,0903,2126,81,74
19/4/1987,0953,2220,67,60
20/4/1987,1057,2332,53,47
21/4/1987,1229,,43,
22/4/1987,0105,1403,42,45
23/4/1987,0229,1516,49,56
24/4/1987,0336,1611,62,69
25/4/1987,0429,1657,75,80
26/4/1987,0514,1737,84,88
27/4/1987,0554,1813,90,91
28/4/1987,0630,1847,91,91
29/4/1987,0704,1920,89,87
30/4/1987,0738,1952,84,81
1/5/1987,0812,2025,77,72
2/5/1987,0845,2057,67,61
3/5/1987,0920,2134,55,50
4/5/1987,1003,2221,44,39
5/5/1987,1100,2326,34,30
6/5/1987,1218,,28,
7/5/1987,0045,1337,29,31
8/5/1987,0159,1441,35,41
9/5/1987,0301,1534,47,53
10/5/1987,0353,1620,59,65
11/5/1987,0439,1703,71,77
12/5/1987,0522,1743,83,86
13/5/1987,0603,1823,90,92
14/5/1987,0643,1903,94,94
15/5/1987,0725,1945,94,92
16/5/1987,0810,2032,89,86
17/5/1987,0859,2123,81,76
18/5/1987,0955,2223,70,65
19/5/1987,1103,2334,59,55
20/5/1987,1222,,53,
21/5/1987,0050,1337,52,52
22/5/1987,0201,1443,54,57
23/5/1987,0304,1539,60,64
24/5/1987,0358,1626,67,70
25/5/1987,0445,1707,72,74
26/5/1987,0525,1744,76,77
27/5/1987,0603,1819,77,77
28/5/1987,0640,1855,77,76
29/5/1987,0716,1931,75,73
30/5/1987,0752,2006,70,68
31/5/1987,0827,2040,65,62
1/6/1987,0903,2117,58,55
2/6/1987,0943,2201,51,48
3/6/1987,1031,2252,45,42
4/6/1987,1128,2352,40,39
5/6/1987,1233,,39,
6/6/1987,0057,1338,40,42
7/6/1987,0201,1439,46,50
8/6/1987,0301,1534,54,59
9/6/1987,0357,1625,65,70
10/6/1987,0450,1714,74,79
11/6/1987,0540,1802,83,86
12/6/1987,0629,1850,89,91
13/6/1987,0718,1939,92,92
14/6/1987,0807,2030,91,89
15/6/1987,0859,2123,86,83
16/6/1987,0953,2219,79,75
17/6/1987,1052,2319,71,67
18/6/1987,1154,,63,
19/6/1987,0021,1257,59,57
20/6/1987,0122,1359,55,54
21/6/1987,0223,1458,53,54
22/6/1987,0321,1552,55,57
23/6/1987,0414,1639,58,60
24/6/1987,0501,1721,62,64
25/6/1987,0543,1800,65,67
26/6/1987,0623,1839,68,69
27/6/1987,0702,1916,69,69
28/6/1987,0738,1952,69,69
29/6/1987,0813,2026,68,67
30/6/1987,0846,2100,66,64
1/7/1987,0921,2137,62,60
2/7/1987,1000,2219,58,56
3/7/1987,1045,2307,53,51
4/7/1987,1137,,49,
5/7/1987,0001,1238,47,46
6/7/1987,0104,1344,46,47
7/7/1987,0211,1450,49,53
8/7/1987,0320,1554,57,61
9/7/1987,0426,1654,66,72
10/7/1987,0526,1749,77,82
11/7/1987,0620,1842,87,91
12/7/1987,0712,1932,94,96
13/7/1987,0801,2022,98,98
14/7/1987,0849,2111,96,94
15/7/1987,0937,2159,91,86
16/7/1987,1024,2248,81,75
17/7/1987,1113,2339,69,63
18/7/1987,1207,,57,
19/7/1987,0035,1307,52,47
20/7/1987,0136,1413,44,42
21/7/1987,0243,1521,42,43
22/7/1987,0352,1620,46,49
23/7/1987,0447,1708,52,56
24/7/1987,0532,1748,59,62
25/7/1987,0611,1825,65,68
26/7/1987,0647,1900,70,72
27/7/1987,0721,1934,74,75
28/7/1987,0753,2006,76,76
29/7/1987,0824,2037,76,75
30/7/1987,0855,2110,74,72
31/7/1987,0929,2146,70,67
1/8/1987,1007,2227,64,61
2/8/1987,1051,2315,57,53
3/8/1987,1147,,49,
4/8/1987,0016,1257,46,44
5/8/1987,0134,1418,44,45
6/8/1987,0259,1537,49,54
7/8/1987,0416,1643,61,68
8/8/1987,0518,1740,76,83
9/8/1987,0611,1831,90,96
10/8/1987,0700,1919,101,104
11/8/1987,0745,2005,106,106
12/8/1987,0828,2048,105,102
13/8/1987,0909,2129,98,92
14/8/1987,0946,2208,86,78
15/8/1987,1025,2250,70,63
16/8/1987,1110,2343,55,47
17/8/1987,1211,,40,
18/8/1987,0050,1328,35,32
19/8/1987,0212,1456,31,33
20/8/1987,0338,1607,37,42
21/8/1987,0436,1654,48,53
22/8/1987,0517,1732,58,63
23/8/1987,0552,1805,68,72
24/8/1987,0625,1838,76,79
25/8/1987,0656,1909,81,83
26/8/1987,0727,1940,85,85
27/8/1987,0756,2009,86,85
28/8/1987,0826,2040,84,82
29/8/1987,0858,2114,79,75
30/8/1987,0934,2153,71,66
31/8/1987,1016,2241,60,55
1/9/1987,1111,2346,49,44
2/9/1987,1227,,40,
3/9/1987,0116,1403,38,40
4/9/1987,0256,1530,45,53
5/9/1987,0411,1634,62,71
6/9/1987,0507,1727,80,88
7/9/1987,0556,1815,95,101
8/9/1987,0641,1859,106,108
9/9/1987,0722,1940,110,109
10/9/1987,0800,2018,107,103
11/9/1987,0835,2054,98,92
12/9/1987,0908,2128,84,77
13/9/1987,0941,2205,68,60
14/9/1987,1021,2253,51,43
15/9/1987,1118,,36,
16/9/1987,0005,1244,29,25
17/9/1987,0142,1425,24,27
18/9/1987,0316,1540,33,39
19/9/1987,0410,1626,46,52
20/9/1987,0449,1703,58,64
21/9/1987,0522,1736,70,75
22/9/1987,0555,1809,79,83
23/9/1987,0626,1841,86,89
24/9/1987,0657,1911,90,91
25/9/1987,0727,1941,92,91
26/9/1987,0758,2013,89,87
27/9/1987,0731,1949,83,79
28/9/1987,0810,2031,73,67
29/9/1987,0855,2123,60,54
30/9/1987,0954,2235,47,41
1/10/1987,1118,,37,
2/10/1987,0019,1301,37,41
3/10/1987,0154,1420,48,57
4/10/1987,0258,1519,66,75
5/10/1987,0350,1609,83,90
6/10/1987,0435,1653,96,101
7/10/1987,0516,1734,104,105
8/10/1987,0554,1812,105,104
9/10/1987,0629,1847,101,97
10/10/1987,0703,1922,92,86
11/10/1987,0735,1955,80,73
12/10/1987,0808,2031,65,57
13/10/1987,0846,2116,49,42
14/10/1987,0936,2222,35,29
15/10/1987,1056,2357,25,24
16/10/1987,1230,,26,
17/10/1987,0122,1346,30,36
18/10/1987,0222,1439,42,49
19/10/1987,0305,1521,56,62
20/10/1987,0343,1559,68,73
21/10/1987,0419,1636,78,83
22/10/1987,0454,1710,86,89
23/10/1987,0527,1744,91,92
24/10/1987,0600,1817,93,92
25/10/1987,0635,1854,90,88
26/10/1987,0713,1935,84,79
27/10/1987,0757,2023,74,68
28/10/1987,0848,2122,61,55
29/10/1987,0954,2241,49,45
30/10/1987,1120,,43,
31/10/1987,0018,1249,44,48
1/11/1987,0135,1359,53,60
2/11/1987,0235,1456,67,74
3/11/1987,0325,1545,80,85
4/11/1987,0409,1628,89,92
5/11/1987,0448,1707,93,94
6/11/1987,0525,1745,94,93
7/11/1987,0601,1821,90,87
8/11/1987,0636,1857,84,79
9/11/1987,0711,1932,74,69
10/11/1987,0745,2009,63,58
11/11/1987,0822,2051,51,46
12/11/1987,0908,2145,40,36
13/11/1987,1009,2259,32,30
14/11/1987,1126,,29,
15/11/1987,0014,1238,31,34
16/11/1987,0118,1339,39,44
17/11/1987,0211,1432,50,56
18/11/1987,0258,1519,61,67
19/11/1987,0341,1601,72,77
20/11/1987,0421,1642,81,84
21/11/1987,0500,1721,87,89
22/11/1987,0540,1802,90,90
23/11/1987,0621,1845,90,88
24/11/1987,0706,1933,85,82
25/11/1987,0755,2025,78,73
26/11/1987,0851,2126,68,64
27/11/1987,0955,2238,59,56
28/11/1987,1109,2354,54,53
29/11/1987,1222,,54,
30/11/1987,0103,1328,56,59
1/12/1987,0203,1426,62,66
2/12/1987,0256,1518,69,72
3/12/1987,0341,1603,75,77
4/12/1987,0423,1644,78,79
5/12/1987,0502,1724,80,80
6/12/1987,0540,1803,79,78
7/12/1987,0618,1841,77,75
8/12/1987,0655,1917,72,69
9/12/1987,0730,1953,66,62
10/12/1987,0806,2030,59,55
11/12/1987,0845,2113,51,48
12/12/1987,0931,2204,45,42
13/12/1987,1026,2305,40,38
14/12/1987,1129,,38,
15/12/1987,0010,1234,39,41
16/12/1987,0113,1336,44,47
17/12/1987,0210,1435,52,57
18/12/1987,0303,1529,62,67
19/12/1987,0353,1620,72,76
20/12/1987,0441,1708,81,85
21/12/1987,0528,1756,88,90
22/12/1987,0616,1844,92,92
23/12/1987,0705,1933,92,91
24/12/1987,0755,2023,89,86
25/12/1987,0847,2116,83,79
26/12/1987,0942,2214,74,70
27/12/1987,1041,2317,65,61
28/12/1987,1144,,57,
29/12/1987,0021,1248,54,53
30/12/1987,0124,1352,52,53
31/12/1987,0225,1452,54,56
1/1/1988,0319,1545,59,61
2/1/1988,0406,1631,64,67
3/1/1988,0448,1712,69,71
4/1/1988,0528,1751,73,74
5/1/1988,0606,1828,75,75
6/1/1988,0641,1902,75,74
7/1/1988,0715,1935,73,72
8/1/1988,0747,2007,70,68
9/1/1988,0820,2041,65,62
10/1/1988,0857,2120,59,56
11/1/1988,0938,2206,53,50
12/1/1988,1027,2302,46,44
13/1/1988,1127,,42,
14/1/1988,0009,1238,41,41
15/1/1988,0121,1353,43,46
16/1/1988,0230,1504,51,57
17/1/1988,0333,1606,63,70
18/1/1988,0429,1700,77,83
19/1/1988,0520,1750,89,94
20/1/1988,0610,1837,99,102
21/1/1988,0657,1923,104,104
22/1/1988,0744,2009,103,101
23/1/1988,0830,2053,97,92
24/1/1988,0916,2139,86,79
25/1/1988,1004,2230,72,64
26/1/1988,1059,2330,57,50
27/1/1988,1204,,45,
28/1/1988,0040,1317,41,39
29/1/1988,0156,1434,39,42
30/1/1988,0305,1537,46,50
31/1/1988,0358,1624,55,60
1/2/1988,0440,1703,64,68
2/2/1988,0517,1738,72,75
3/2/1988,0551,1811,77,79
4/2/1988,0623,1842,81,82
5/2/1988,0654,1911,82,82
6/2/1988,0723,1940,81,80
7/2/1988,0753,2010,77,75
8/2/1988,0824,2043,72,68
9/2/1988,0859,2122,63,59
10/2/1988,0941,2210,54,49
11/2/1988,1036,2315,44,40
12/2/1988,1152,,37,
13/2/1988,0039,1324,36,39
14/2/1988,0207,1451,43,51
15/2/1988,0320,1556,59,68
16/2/1988,0418,1649,77,86
17/2/1988,0509,1737,94,101
18/2/1988,0556,1822,107,111
19/2/1988,0641,1904,113,114
20/2/1988,0723,1945,112,109
21/2/1988,0804,2023,104,98
22/2/1988,0844,2101,90,82
23/2/1988,0925,2143,73,64
24/2/1988,1013,2238,54,46
25/2/1988,1119,2355,38,32
26/2/1988,1246,,29,
27/2/1988,0129,1424,30,34
28/2/1988,0252,1527,39,45
29/2/1988,0345,1610,51,57
1/3/1988,0424,1645,63,68
2/3/1988,0457,1716,73,77
3/3/1988,0528,1745,80,83
4/3/1988,0558,1815,86,87
5/3/1988,0628,1843,88,88
6/3/1988,0656,1911,88,87
7/3/1988,0724,1940,85,82
8/3/1988,0755,2013,78,74
9/3/1988,0829,2050,69,64
10/3/1988,0911,2137,58,52
11/3/1988,1007,2243,45,40
12/3/1988,1128,,35,
13/3/1988,0015,1314,34,36
14/3/1988,0153,1442,43,51
15/3/1988,0306,1542,61,71
16/3/1988,0402,1632,81,90
17/3/1988,0451,1717,98,105
18/3/1988,0536,1759,110,113
19/3/1988,0618,1839,114,114
