DATE,PM1,PM2,COEFF1,COEFF2
8/7/1980,0239,1514,61,63
9/7/1980,0343,1613,66,70
10/7/1980,0440,1705,73,77
11/7/1980,0531,1753,80,82
12/7/1980,0618,1838,84,85
13/7/1980,0701,1920,86,86
14/7/1980,0741,1959,85,84
15/7/1980,0819,2035,82,79
16/7/1980,0853,2109,76,73
17/7/1980,0926,2143,69,65
18/7/1980,1002,2221,60,56
19/7/1980,1044,2308,51,47
20/7/1980,1137,,43,
21/7/1980,0007,1243,40,38
22/7/1980,0113,1351,37,38
23/7/1980,0220,1457,40,43
24/7/1980,0326,1556,47,52
25/7/1980,0423,1648,58,63
26/7/1980,0514,1734,69,74
27/7/1980,0559,1819,80,84
28/7/1980,0643,1902,89,92
29/7/1980,0725,1945,95,97
30/7/1980,0808,2028,98,98
31/7/1980,0851,2112,97,95
1/8/1980,0936,2200,91,87
2/8/1980,1024,2252,81,76
3/8/1980,1120,2353,70,64
4/8/1980,1228,,59,
5/8/1980,0104,1342,55,53
6/8/1980,0217,1455,53,54
7/8/1980,0328,1600,57,60
8/8/1980,0430,1655,65,69
9/8/1980,0521,1742,73,77
10/8/1980,0605,1823,80,82
11/8/1980,0644,1901,84,85
12/8/1980,0720,1935,85,85
13/8/1980,0752,2007,84,83
14/8/1980,0823,2038,81,78
15/8/1980,0853,2108,75,71
16/8/1980,0924,2141,67,63
17/8/1980,0959,2219,58,53
18/8/1980,1041,2307,48,44
19/8/1980,1138,,40,
20/8/1980,0011,1253,37,35
21/8/1980,0129,1411,35,37
22/8/1980,0247,1523,42,47
23/8/1980,0355,1622,54,61
24/8/1980,0451,1712,69,76
25/8/1980,0540,1759,83,90
26/8/1980,0625,1844,96,101
27/8/1980,0708,1927,105,108
28/8/1980,0750,2010,109,109
29/8/1980,0832,2053,107,104
30/8/1980,0915,2138,99,93
31/8/1980,1000,2227,86,79
1/9/1980,1052,2326,70,63
2/9/1980,1158,,56,
3/9/1980,0039,1317,50,46
4/9/1980,0159,1438,45,47
5/9/1980,0318,1550,50,55
6/9/1980,0421,1644,60,65
7/9/1980,0509,1728,70,75
8/9/1980,0549,1805,78,81
9/9/1980,0622,1837,84,85
10/9/1980,0654,1908,86,87
11/9/1980,0724,1939,87,86
12/9/1980,0754,2008,84,82
13/9/1980,0823,2037,79,76
14/9/1980,0851,2107,72,68
15/9/1980,0923,2141,63,58
